4182 -2792 1644
3984 -2574 1547
5034 -1577 1834
5470 -4186 2116
1208 -5826 734
2130 -4994 978
1722 -5238 830
5672 -4133 2089
4803 -1500 1671
3603 -3984 1364
2355 -7439 1065
4756 -1621 1636
4150 -1313 1411
65 -7693 253
3621 -4055 1306
6006 -3797 2073
2504 -3334 904
-3951 -2616 -1223
2208 -5811 849
4880 -1607 1613
1163 -3594 440
2129 -5911 774
-1427 -3453 -415
5190 -3732 1685
3883 -6491 1272
5667 -4364 1794
1564 -4153 489
2029 -5759 626
4762 -1687 1477
3260 -4197 980
-3609 -6173 -1181
-1217 -3188 -414
5153 -3597 1520
-2392 -3659 -796
1921 -3694 510
4039 -3930 1137
1351 -4970 288
1645 -5763 339
3775 -2805 1052
-97 -7109 -248
1635 -5985 284
-3616 -6331 -1303
2242 -5559 439
1575 -6004 207
2365 -4260 497
-270 -7035 -409
2134 -5343 360
1976 -3872 373
2025 -3955 374
5589 -4635 1348
4561 -3124 1126
1071 -3602 95
515 -3924 -91
4524 -3238 1084
3920 -2163 976
2548 -4648 429
5137 -1344 1357
5042 -1281 1323
5683 -4120 1293
4362 -3101 980
-1203 -6842 -851
-3636 -6793 -1530
2151 -5405 166
2143 -4120 257
1453 -3575 100
1901 -5571 21
1771 -5823 -45
4182 -2638 877
3879 -2925 763
3296 -3303 559
-768 -3347 -535
2448 -4773 150
1599 -6232 -238
-427 -5813 -738
1323 -4072 -107
5492 -4938 865
3673 -4334 446
-2461 -4144 -1121
1725 -5435 -216
2125 -5266 -110
5112 -1853 1058
5195 -3343 882
1715 -3704 -60
-1914 -6626 -1361
5155 -1953 1006
2046 -5140 -201
1406 -4182 -237
2941 -4435 94
3992 -2542 604
3860 -2455 578
1926 -5564 -358
4207 -2898 575
3997 -3343 443
2072 -4920 -267
3586 -3170 340
-3028 -7038 -1852
3342 -5411 -119
2635 -4364 -135
-1645 -6573 -1520
5435 -2496 792
1922 -7095 -855
1700 -3522 -278
4702 -1779 703
-2364 -4427 -1361
-582 -3322 -765
2179 -4471 -391
-2686 -6497 -1853
4711 -2791 468
2457 -4736 -410
-635 -6415 -1427
1369 -5088 -740
-1572 -3011 -949
2913 -4693 -349
4060 -2823 269
3783 -2153 341
5893 -3823 426
1927 -5247 -714
5747 -2096 728
5899 -3708 381
1196 -5799 -1044
6623 -1719 950
-324 -3432 -845
6914 -1671 1001
4146 -2226 312
-790 -5638 -1465
1817 -3371 -423
1241 -5707 -1094
4379 -2393 288
3591 -6892 -962
4218 -2467 221
2031 -4856 -800
-1033 -6183 -1733
-572 -5297 -1435
2460 -5228 -871
2173 -6461 -1248
4809 -2317 293
-656 -5157 -1470
3720 -4511 -515
2652 -5383 -961
2678 -5270 -949
3109 -3392 -369
3814 -2008 125
-384 -4800 -1400
4913 1921 1397
2799 -3193 -419
4533 -2578 40
5820 -806 760
4767 -2516 79
-1497 -6711 -2212
-1435 -5788 -1949
1839 -2622 -479
-1093 -5493 -1836
2519 -4279 -896
5433 -1404 448
1893 -2690 -526
5011 -2590 -12
2656 -3410 -661
-390 -5534 -1830
-332 -3812 -1282
-1590 -5742 -2109
2727 -4346 -1008
4028 -1959 -42
3037 -2470 -368
2356 -4800 -1249
4330 -2224 -111
2598 -1919 -273
4369 -4882 -1041
-2025 -5445 -2175
2253 -4556 -1274
-2663 -4982 -2119
2075 -4708 -1373
5092 -2644 -242
3501 -3817 -897
3418 -4307 -1087
-2036 -5453 -2259
2347 -4102 -1212
3005 -4247 -1191
-462 -4593 -1776
3103 -4100 -1147
4530 -2383 -331
3187 -4600 -1350
4680 -2581 -407
3173 -4488 -1331
-330 -5187 -2046
3024 -4505 -1381
672 -4182 -1545
5033 -1519 12
1860 -4789 -1654
158 -4124 -1600
1977 -4650 -1608
4983 -2228 -299
2194 -4740 -1629
-359 -4384 -1788
-189 -5024 -2033
3542 -4618 -1446
2211 -4605 -1600
3339 -3117 -884
2945 -4898 -1658
2860 -2686 -776
1336 -3410 -1250
7345 -1730 154
2606 -2548 -768
3433 -5084 -1735
3966 -2379 -565
4091 -2434 -584
4047 -2766 -736
-5189 -5312 -2782
6076 -1224 111
5104 -1505 -117
4845 -2062 -395
-538 -5496 -2423
3157 -3018 -998
4065 -1593 -296
4512 -2359 -595
4261 -5504 -2007
4310 -2473 -680
3907 -2575 -770
4826 -758 116
4356 -1781 -390
4301 -1770 -395
2021 -4296 -1743
4200 -1723 -401
4900 -666 125
1923 -4227 -1785
4255 -2799 -960
2632 -1549 -519
2525 -2552 -1020
4797 -1870 -534
-1027 -4526 -2261
4369 -2462 -882
4949 -1851 -564
6470 -1936 -510
-3278 -4224 -2312
-983 -5878 -2984
3056 -2551 -1068
7332 -914 12
3582 -5175 -2408
-1018 -5055 -2644
4922 -802 -120
-1244 -4377 -2333
2057 -5937 -2974
4952 -2371 -985
4565 -2249 -943
3226 -2411 -1104
3129 -4721 -2340
1548 -3930 -2008
322 -4244 -2241
1215 -2982 -1537
-320 -4158 -2249
3345 -4841 -2463
4535 -3057 -1457
6630 -1944 -779
4519 -2804 -1352
4386 -2994 -1470
3381 -1441 -670
4115 -1870 -885
7100 -3016 -1420
3713 -1371 -638
1326 -3856 -2124
4052 -4579 -2458
3764 -5196 -2829
5600 -4035 -2132
4545 -1909 -958
4969 -1381 -649
3888 -5367 -2984
4373 -1273 -618
4362 -1298 -640
4119 -1170 -579
2979 -5544 -3179
1310 -3460 -2022
1936 -6059 -3565
4948 -5351 -3102
5809 -1706 -930
5604 -4496 -2619
-668 -3983 -2407
3958 -1756 -1004
5790 -4485 -2646
4811 -2102 -1227
4623 -1807 -1055
4747 -1287 -743
-195 -5639 -3467
5550 -1231 -717
5830 -1552 -949
4826 -5057 -3107
5431 -1601 -975
